Date,Tourney,Winner_name,Loser_name,Mrkt_Open_Time,W_MrkOp_odds,L_MrkOp_odds,Mrkt_Cls_Time,W_MrkCl_odds,L_MrkCl_odds,Curr_Mrkt_Time,W_Max_odds,Curr_Mrkt_Time,L_Max_odds
20160104,Doha,Novak Djokovic,Leonardo Mayer,20160107 0209,1.04,26.0,20160107 1712,1.03,32.0,20160107 0209,1.04,20160107 1702,32.0
20160104,Doha,Tomas Berdych,Kyle Edmund,20160107 0825,1.12,8.8,20160107 1911,1.14,8.4,20160107 1911,1.14,20160107 1739,9.2
20160104,Doha,Illya Marchenko,Jeremy Chardy,20160107 0007,3.05,1.47,20160107 1240,3.35,1.42,20160107 1144,3.4,20160107 0109,1.53
20160104,Doha,Rafael Nadal,Andrey Kuznetsov,20160107 1245,1.05,22.0,20160107 1435,1.05,18.0,20160107 1423,1.06,20160107 1416,23.0
20160104,Doha,Novak Djokovic,Fernando Verdasco,20160106 0035,1.04,26.0,20160106 1406,1.06,17.5,20160106 1404,1.06,20160106 1217,30.0
20160104,Doha,Leonardo Mayer,Pablo Andujar,20160106 0952,1.35,3.95,20160106 1153,1.34,3.9,20160106 1047,1.38,20160106 0952,3.95
20160104,Doha,Tomas Berdych,Damir Dzumhur,20160106 1626,1.07,15.5,20160106 1712,1.06,16.0,20160106 1626,1.07,20160106 1710,16.0
20160104,Doha,Jeremy Chardy,Paul Henri Mathieu,20160105 2303,1.57,2.74,20160106 1238,1.42,3.4,20160105 2303,1.57,20160106 1238,3.4
20160104,Doha,Illya Marchenko,Teymuraz Gabashvili,20160106 0012,2.14,1.87,20160106 1244,1.9,2.08,20160106 0207,2.16,20160106 1240,2.1
20160104,Doha,Andrey Kuznetsov,Ricardas Berankis,20160106 0401,2.06,1.93,20160106 1423,2.1,1.91,20160106 0843,2.2,20160106 1345,1.96
20160104,Doha,Rafael Nadal,Robin Haase,20160105 2338,1.1,11.0,20160106 1546,1.07,17.0,20160105 2338,1.1,20160106 1545,18.0
20160104,Doha,Novak Djokovic,Dustin Brown,20160103 1839,1.04,26.0,20160104 1452,1.03,26.0,20160103 1839,1.04,20160104 1443,29.0
20160104,Doha,Fernando Verdasco,Malek Jaziri,20160104 0626,1.36,3.8,20160105 1920,1.39,3.5,20160105 1404,1.46,20160104 2144,3.85
20160104,Doha,Pablo Andujar,Paolo Lorenzi,20160103 1712,2.22,1.83,20160105 1236,2.38,1.72,20160105 0856,2.4,20160104 2147,1.9
20160104,Doha,Leonardo Mayer,Benjamin Becker,20160103 2015,1.7,2.44,20160105 1455,1.52,2.92,20160103 2015,1.7,20160105 1455,2.92
20160104,Doha,Tomas Berdych,Sergiy Stakhovsky,20160103 1328,1.14,8.0,20160105 1234,1.12,9.4,20160103 1328,1.14,20160105 0504,10.0
20160104,Doha,Damir Dzumhur,Marco Cecchinato,20160104 0721,1.58,2.74,20160104 1234,1.55,2.82,20160104 1129,1.62,20160104 1232,2.84
20160104,Doha,Kyle Edmund,Martin Klizan,20160103 2007,1.76,2.32,20160104 1336,1.86,2.16,20160104 1248,1.91,20160103 2007,2.32
20160104,Doha,Teymuraz Gabashvili,Simone Bolelli,20160103 0936,2.0,2.0,20160105 1233,2.02,1.98,20160104 1301,2.06,20160105 0859,2.06
20160104,Doha,Illya Marchenko,David Ferrer,20160104 0606,10.0,1.11,20160105 1416,10.5,1.1,20160105 1201,13.5,20160104 0606,1.11
20160104,Doha,Ricardas Berankis,Andreas Seppi,20160105 1129,2.42,1.68,20160105 1643,2.58,1.63,20160105 1503,2.68,20160105 1133,1.74
20160104,Doha,Andrey Kuznetsov,Marsel Ilhan,20160104 1513,1.61,2.64,20160104 1849,1.66,2.5,20160104 1849,1.66,20160104 1838,2.72
20160104,Doha,Robin Haase,Aslan Karatsev,20160103 1822,1.6,2.66,20160104 1539,1.53,2.8,20160104 1406,1.61,20160103 2049,2.8
20160104,Doha,Rafael Nadal,Pablo Carreno Busta,20160103 0850,1.06,17.5,20160105 1652,1.05,22.0,20160103 0850,1.06,20160105 1648,25.0
20151123,Challenger Tour Finals,Paolo Lorenzi,Farrukh Dustov,20151125 1409,1.15,7.8,20151125 1754,1.2,6.0,20151125 1637,1.2,20151125 1409,7.8
20151123,Challenger Tour Finals,Marco Cecchinato,Guido Pella,20151127 0951,3.0,1.5,20151127 2322,4.0,1.33,20151127 2319,4.3,20151127 0951,1.5
20151123,Challenger Tour Finals,Guido Pella,Radu Albot,20151125 1611,1.31,4.3,20151125 2218,1.3,4.2,20151125 2150,1.34,20151125 2204,4.7
20151123,Challenger Tour Finals,Guido Pella,Guilherme Clezar,20151126 1236,1.48,3.1,20151126 2112,1.42,3.3,20151126 1236,1.48,20151126 1933,3.55
20151123,Challenger Tour Finals,Radu Albot,Marco Cecchinato,20151126 1434,2.42,1.7,20151126 1849,2.58,1.63,20151126 1841,2.64,20151126 1434,1.7
20151123,Challenger Tour Finals,Guilherme Clezar,Marco Cecchinato,20151125 0007,2.5,1.67,20151125 2035,2.48,1.67,20151125 0011,2.86,20151125 1959,1.76
